Date,Open,High,Low,Close,Volume,Adj Close
2015-03-03,69.21,70.65,68.36,68.44,1302800,66.0919
2015-03-02,69.38,70.10,68.24,68.88,900800,66.5168
2015-02-27,68.96,69.50,68.52,69.43,984400,67.0479
2015-02-26,68.40,69.09,68.24,68.89,752000,66.5264
2015-02-25,69.02,69.32,67.82,68.23,886900,65.8891
2015-02-24,69.21,69.39,68.42,68.92,1060900,66.5554
2015-02-23,68.98,69.40,67.60,69.23,932700,66.8548
2015-02-20,68.24,69.36,68.21,68.82,2680600,66.4588
2015-02-19,64.66,68.86,63.76,67.87,5144300,65.5414
2015-02-18,64.07,64.81,63.98,64.66,937900,62.4416
2015-02-17,64.44,64.92,63.32,63.63,1400500,61.4469
2015-02-16,64.88,65.55,64.56,65.03,603500,62.7989
2015-02-13,65.50,65.85,64.74,64.88,1257600,62.654
2015-02-12,63.20,65.90,63.05,65.33,2126000,63.0886
2015-02-11,62.80,63.53,62.72,63.51,889000,61.331
2015-02-10,62.24,62.71,61.59,62.71,900500,60.5585
2015-02-09,63.12,63.45,62.06,62.41,913600,60.2688
2015-02-06,63.85,64.50,63.27,63.39,910000,61.2151
2015-02-05,63.50,63.85,62.72,63.65,821300,61.4662
2015-02-04,63.63,63.85,62.43,63.83,1171300,61.64
2015-02-03,62.00,63.85,61.80,63.33,1545000,61.1572
2015-02-02,61.59,61.89,61.01,61.79,1246300,59.67
2015-01-30,61.89,61.95,60.86,61.19,1342200,59.0906
2015-01-29,61.09,61.43,60.26,61.43,862100,59.3224
2015-01-28,62.05,62.80,60.56,61.40,1400400,59.2934
2015-01-27,61.84,62.40,60.89,61.41,1602800,59.3031
2015-01-26,60.75,61.57,60.28,61.57,1882700,59.4576
2015-01-23,60.50,60.91,59.75,60.54,4223100,58.4629
2015-01-22,58.28,58.75,57.54,58.27,1834900,56.2708
2015-01-21,58.38,58.42,57.08,58.05,1938100,56.0583
2015-01-20,59.25,59.35,58.02,58.39,1536300,56.3867
2015-01-19,57.00,59.31,56.90,58.81,1949400,56.7923
2015-01-16,56.16,56.87,55.61,56.59,1401600,54.6484
2015-01-15,55.85,56.41,54.40,56.41,2277900,54.4746
2015-01-14,56.00,56.05,54.92,55.45,1079800,53.5476
2015-01-13,56.15,56.64,55.87,56.30,1372200,54.3684
2015-01-12,56.62,57.16,55.93,56.59,900200,54.6484
2015-01-09,56.75,57.65,56.53,56.82,1538900,54.8705
2015-01-08,55.65,57.18,55.63,56.98,1283100,55.0251
2015-01-07,55.00,55.38,54.62,55.16,1111200,53.2675
2015-01-06,54.59,55.43,53.80,54.61,1281100,52.7364
2015-01-05,56.27,56.80,54.70,54.75,1567600,52.8716
2015-01-02,57.72,57.86,56.25,56.42,964200,54.4843
2015-01-01,57.62,57.62,57.62,57.62,000,55.6431
